text,sentiment
Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ,1
SNC Halloween Pr. Pumped. Let's work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween,1
"@jacquelinemegan I'm sorry I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)",0
Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :),1
#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U,1
"Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday with investors waiting for... http://t.co/CiqFona1",0
"Monday before I leave Singapore I am going to post something that might be offensive.",0
"Here in the Philippines Its November 2 and I was like where's my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial",1
Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!,1
"'Love-cheat' Daniel Radcliffe splits with girlfriend Rosie Coker: London Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ",0
"@solz_b He's a true Niners fan he brought it up in a interview during his 2nd season. :D",1
"Patriots Extend Lead Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak",1
@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn't so bad. Probably should've had ET,1
Pretty Little Liars was the shit ! I can't wait til tomorrow ! I wanna see who all innocent & who got something to do with Allison dying !,1
@MonicaGonzo Texas and Baylor both looked awesome last night. We are heading to the games tomorrow night.I say final is Texas/Baylor,1
"#7FactsAboutMyBestFriend 17 plays softball loves the Lakers she's a LA girl Junior Birthday September 15th & she loves her black boys!",1
"waking up to a Niners win makes Tuesday get off to a great start! 21-3 over the cards and 2 games clear in the NFC West.",1
Contest Tomorrow! I will post a local Tucson property that is currently Active in the Tucson MLS. The first person... http://t.co/V55HsKTI,1
"@justinbieber im so excited even though i wont see you til novemeber 5th. oiershdjkfwle GOOD LUCK TONIGHT KIDRAUHL!",1
"Well if no ones going to school tomorrow then I guess I won't go :p",0
"Watching Contraband on the PVR & it's too frigging predictable to continue watching. Gonna go wash my hair. #friday",0
"@JoshNorris @Rotoworld_Draft I'd be pretty mad if the Packers took Bernard in the 1st just bc Cooper/Eifert would be better IMO.",0
"Steal by Chalmers on the break away and is fouled by Garnett. That is his 3rd foul of this game. #Celtics #299COMM",0
"Free to Watch!!! Justified: Justified follows Marshal Raylan Givens a modern day 19th century-style lawman w... http://t.co/Lep5fnF1",1
@drewbrees I admire the relationship U have with your family. Lol iron man's a pretty suitable costume. Good Luck Monday Go Saints!,1
"Come see the David Bowie tribute show I'm in @ King King H'wood Nov 4 & 5 (my b'day). 6 singers/dancers 6 pc band - killin!",1
Your like Jordan's on a Saturday I got to have you and I cannot wait. .,1
Up 20 points in my money league with Vernon Davis and L. Fitz still to go tomorrow. Thats what I like to see,1
DEEJAYING this FRIDAY in THE FIRST CHOP it's CHRIS actual SMITH with a smashing mish mashing of TUNES from Stoke... http://t.co/N3W1Dkrv,1
"The Rick Santorum signing that was scheduled for tomorrow at the Books A Million in Exton PA has been CANCELLED due to the weather.",0
"@DannyB618 Sure absolutely-- I meant out of the Bachmann Perry Santorum Herman Cain bunch this election. And Romney was not my 1st choice",0
"@RichardGordon48 re Levein discussion on Wed. Can't keep changing boss but he is far too negative. Brazil gone new boss cud experiment.",0
Hustle cause you got to then kick back n party everyday like its Fri,1
I can't sleep. Way too exited about Vancouver tomorrow! I'm like a kid at Christmas.,1
"Entertainment: Tina Fey and Amy Poehler are hosting the Golden Globes airing Jan 13. Get ready for a night full of laughs!! -Ashley&Alyssa",1
#pause I bet the clippers are gonna get in the Lakers ass Friday (today),0
"@h0tlikepayne: It's #confirmed that you can listen to the deluxe version of TMH on ITunes 9pm GMT on Nov 5th Monday.",1
"Busy day tomorrow staging at bliss instead of sustenio!! Both very cool places. And my last night in Texas. Its gonna be great! :)",1
"Thursday night is reserved for comedys on NBC FX and tonight NFL Network.",1
Mitt Romney falsely claimed he saw his father march with Martin Luther King Jr.  http://t.co/QcSDqEyB Mitt Romney what won't you lie about?,0
Get to see my big sis sunday and watch the Packers game! #missher @Laurrr_Miller,1
"Not only is @MzMandyTugz home from China she's in LA...I called her and screamed Mandyyyyyyyyyyyyy...I'm gonna hug her for 2 hrs tomorrow!",1
Going to Singapore tonight :) Excited for Skyfall + penny boarding tomorrow!,1
"@TatiCuteAss you ain't gone do shit tomorrow we gone see chicken shit",0
Bama maintains the longest active unbeaten streak as they march (again) to the national title. ROLL TIDE!,1
"So Clattenburg's alleged racism may mean end of his career; Terry Suarez Rio use it and can't play for a couple of weeks? #consistency",0
@ZulaGp @misstoyaj Watching this great interview with Ava Duvernay-new film coming out Fri. with the beautiful Nigerian actor from Red Tails,1
Pretty Little Liars is not back until the 8th of January!!! I'm devastated,0
i like how each Friday the announcers hype how Alabama can be beat and each Monday state how Alabama is still number one...,1
Thanking all my lucky stars. (no Madonna) With the sun in the mornin' & the moon in the evenin' I'm alright.,1
"The Philippines just passed a law worse than SOPA which actually criminalizes criticizing someone online. http://t.co/wUMX95vR",0
"Emile Heskey has sure started his A-League career well. 4 goals in 3 games! May it continue. Match Stats http://t.co/SUCqdSM3,1
When I was little my brother Liam asked me is it tomorrow yet? And I replied no it's always today. #5yearsold #bookofquotes #smartbaby,0
@WilliamShatner You are top billing to Shakespeare in Google but 2nd in Wiki. One a master of English; the other from Stratford.#Shatoetry,0
@emmasq Gary Ablett has to be a #Monty surely. A lot of losses but clearly best and most influential player in the #AFL #Jobe & Thommo 2nd,1
@edcfc73 cheers 4 the ticket ed 4 wednesday Steve looks a bit like Ricky gervais #ugly fucker,0
@Real_Liam_Payne i'll be in london within zayn's birthday the 12th of january meet you there hahaaha DREAMS AND IMAGINATION OF MINE ..,1
@cocosworld @numolai nor'easter superstorm with snow and low temps according to fox http://t.co/ilhYhhwB  it may change paths by then,0
But honestly I think Miami may be the Alabama of the NBA.,0
@TyMo214 Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,0
@BooGotti_So1OO Girl Exactly But I'm Mad Because They Pushed Gotti Date Back! But Fuck All That NOVEMBER 23 RVA!  Shawty how you acting??,0
264234360113348608	On the Jersey shore emotion outweighs cost of rebuilding: BAY HEAD N.J./BOSTON (Reuters) - The people of the Jersey Shore may feel ...,0
264127072497176576	@CurtTheArcher1 The may have the best defense..but they still lost to the Packers,0
264159497478623232	Sad scenes about Underoath splitting. Off to Newcastle tomorrow for the weekend. Try catch the #arsenal game too. @jamiedurent if yr about,0
259303770373124097	Anybody at the Trib: where is Ike Taylor's Friday column? Sucks I can't find it. First one I've actually looked forward to reading.,0
263471255196418048	Get pumped for the new season of Justified!! #january,1
263410952945401858	Sunderland have some shit fans! They all were going home with 10 mins of the game left. Demba Ba still 2nd top scorer #lalas #smb,0
264190196520722432	#7ThingsAboutMyBestFriend 1.She is in love with Zayn Malik and Beau Brooks 2.Ive known her since 5th grade(; 3.She is so tiny!,1
264253864616808448	I hope anderson starts tomorrow's game he did very against chelsea,1
264186362553577472	@ZackRyder Look forward to seeing you in Newcastle tomorrow night! I'll be front row wearing a Broski t-shirt! #WWWYKI,1
254366850903842817	@tessgrosvenor27 the Fiesta Bowl. And I was surprised to see they were ranked 6th in the polls. Cuse don't get alot of love in football land,0
264202522598719488	@DJiAM_ it'll prolly sound like the 1st Pluto which was ................... ok I wonder if he gone have Kanye on it,0
264230891113553921	I'm going to the Texans game Sunday!,0
262650504411234304	New series of Greys Anatomy starts on 07 November - one good thing about winter is the return of the best US shows! #nightsinfrontofthetelly,1
264059103092015105	Suarez is 1 YC away from a domestic suspension. If he picks up a YC this Sunday vs Newcastle then he will miss the clash at SB next w/end.,0
263873145658814464	Two-thirds of the NCAA football season are completed. The race for the BCS title game is heading to a huge controversy. http://t.co/KStEPiWn,0
263800824633892866	#Hawks fam twitpic your Halloween costume to win a pair of tickets to see the Hawks defeat the Rockets this Friday @ATolliver44,1
262341309170319361	Sitting at home on a Saturday night doing absolutely nothing... Guess I'll just watch Greys Anatomy all night. #lonerproblems #greysanatomy,0
263994623628812288	Cardinals try to pick up the pieces against Packers: Embarrassed on Monday night the Arizona Cardinals are left... http://t.co/ruHfUKuf,0
264222475318071296	@JulesHolman Dear one was driving from Newcastle. Sunday? So glad @NorelleFeeehan liked it - it was great to meet you Norelle!,1
263575508405612544	@Nessaa456 the 6th chapter talks about malcolm x and I think martin luther king.he kinda contrasts them,0
264244721747107840	@1DticketsUSA online it said One Direction tix for Paris April 29th 2013 go on sale at 10am what site can you buy tickets!,0
263760661404852225	@jadinexo U going to chalmers tomorrow?,0
263965294383472640	Off to Anfield on Sunday for LFC vs Newcastle with @willslater99 #excited,1
263597932308226048	@premierleague Mr Howard Webb did a fantastic comback in Chelsea match 05 February 2012 - with the help of two magic penalties of course...,1
264242569154789377	On the Jersey shore emotion outweighs cost of rebuilding: BAY HEAD N.J./BOSTON Nov 2 (Reuters) - The people of... http://t.co/eaPAgwx2,0
262883423062999040	Check out Sir Terry Leahy article in Saturday's Telegraph Weekend section re why he invested in GCSE Maths resource http://t.co/E9gLzAMC.,0
252414863400398848	@KERfortheWIN Plagiarism. Sopa's gonna get you on october 3.,0
264185661848944640	Vegas Beat: Ellen reveals that Madonna helped her come out of the closet: Tuesday's episode of Ellen featured th... http://t.co/PwhBvNK1,1
264071103318749184	Can't wait to go to the WVU vs. TCU game on Saturday,1
263718034919788544	Very much looking forward to Saturday. Afternoon tea and Firework display at the Celtic Manor.,1
264144616725573633	@ThomasCritchley hahaaa. well if u wanna take me to brazil i ain't gonn say no. How about viva brazil tho next Friday night? Bit cheaper XxX,0
264164489698615297  16:46 Steven Pourier Jr. (OLC) MADE the 1 shot Free Throw. DaSU leads 8 - 6 in the 1st Half. #NAIAMBB,0
262611879606755328	Trent Richardson has the Browns out to a 7-0 lead over the Chargers on Sunday.  http://t.co/Kfva5FQh,0
263192187313999872	Gerrard: Every single time they got the ball to their keeper it came in long. Sunday's long ball stats - Tim Howard (15) Brad Jones (20).,0
263543496802193408	Muhammad Ali came into my work tonight to eat...I think that being in the presence of a legend made this Tuesday pretty legit.,1
264122899303116801	I didn't want New York to miss my Madonna show. Get ready for Monday! It's gonna be on WNBC! There is a God<333333 Thanks Ellen :'3,1
262741756003635200	@AllyTuckerKSR @rbramblet Maybe KSRc needs a wrasslin' recap then. @kysportsradio once mentioned we may have things about The Bachelor,0
261663379939291136	Life just isn't the same when there is no Pretty Little Liars on Tuesday nights.,0
263705972151824385	(Times Pic) LSU Coach Les Miles said BCS title game has no bearing on Saturday's matchup with Alabama http://t.co/e7qDoIyC #LSU,0
264198224213073921	@rwh4vt: We look like UVA. There I said it. So sad but so very true.. November 24th is going to be a circus,0
264220138650365953	Class early in the mornjng =\ it's bedtime! But do get to see my Sam tomorrow :),0
262729697895526400	@RayWJ: Despite what you may have heard I actually do give a shit. --Honey Badger in an interview with Piers Morgan  @dogorman10,0
264051565520900096	I get to see Ces tomorrow!!!!! Best news since the hurricane. He better not forget his flashlight!,1
257248283259449345	#njed please join @Sirotiak02 and myself  this Tuesday @ 8:30 PM as we discuss HIB. Special guest moderator @WMS_Counselor glad to have you.,1
264198491750948864	Remember the midterm elections? Remember the Wisconsin recall? Just wait for next tuesday.,0
264196161500479488	it's either UA or AU for grad school. As much as I love Alabama I'm thinking Auburn may be the better choice for me.,1
264218637316022272	Watched a Pride and Prejudice play and then the season finale of the 2nd season of Downton Abbey. Tonight is so British.,1
250084781725990912	i hate how MLK Jr got caught apewalkin at the Selma March (reason why white people call us monkeys),0
262288470612013056	Napoleon Dynamite may be the most awkward person ever,0
262041273526001664	I'm not sure how Teddy Bridgewater playing in the Orange Bowl will go over in Miami. We may find out.,0
264112308777803776	@bursonperson - Spotted: I just saw Elvis I'm beginning to like the temporary 7th floor office. ;) @AOlavarria,1
264232068723122176	got to rockdale today and going back to houston tomorrow THANK GOD!,1
253702800117215232	@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!,1
264229363485138944	China to open cultural centre in Nepal: Kathmandu Nov 2 (IANS) China is going to open a cultural cen... http://t.co/tYn4QOmg @yahoonews,0
264189541341085696	Pacers fans are going to have fun on Saturday...,1
264230836587597824	YouTube improves upload process with optional notifications and new tags editor: Google on Thursday announced th... http://t.co/BtCcHo7A,0
264098731438243840	Ay up @keithmaxmoz You still want me to get you a pair of tickets for the Sunderland match on 2nd Jan (7.45pm ko)?,0
264127503147364354	Congratulations on scoring your first goal for Swansea yesterday. May I say that you look exactly like Jonas Gutierrez ! @ChicoFlores12,1
233646972853186561	A lot of work goes into to showing a Movie Under the Stars! Come out tomorrow night at watch Joyful Noise on our... http://t.co/zldSzjI5,0
262789538294935553	@BrodyLogan | That way the Orange Bowl would always be a part of me. I think it was a wise choice. Shit is it Thursday yet? Game time!,1
263838207165218816	@JonathaMingo In other related news you know there's no Parks tomorrow?,0
264222435249901568	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday with investors waiting ... http://t.co/hbL19o43,0
264145643528916993	Guarantee if I go to maths tomorrow ill spend the whole time talking,0
256951360573030401	I will watch Coach Stews Fiesta Bowl speech before the game tomorrow. Just seems right for some reason. I know he is smiling at this team.,1
264155821238259713	@Lydia_Style @candyjacobs ahhh girls if I was not going to Dubai on Wed I would take u ladies !! Hope u can come visit me in land of sand x,0
263847027622952960	@OnlyOne_Tikeya it's party on nov 11th at da CHALMERS community hall 10$ to get n,0
263998062945521666	HOLY SHIT. I just realized that I missed Pretty Little Liars on Tuesday. :/,0
262821660405661696	@Lon_Genius my part to the al green joint will be done friday...I'll shoot you an email with the attachment,0
263838583859863552	You should come watch The Devil Inside in the movie room on the 1st floor @Miss_Lady94,0
264256835165507584	But tonight when I went to see Madonna at the Scottrade when I walked in I started crying because I thought about last Saturday.,0
264152388418547712 Are the Canes the biggest losers in the Marlins Park deal? Losing the Orange Bowl = Not good for their program. Bad look at Sun Life.,0
263513151205695488	SIKE/APRIL FOOLS/ NEVER say Never but this is the exception ****Turns on Pretty Little Liars,0
264240618128150528	Watching CBC news in Vancouver awaiting the WSOP Circuit event tomorrow. What's on the Canadian network? The US election - what else...? :),0
264226309599805441	This guy is going in the mail tomorrow addressed to the Georgia Athletic Dept. http://t.co/tgMmQtiq,0
264242070787616768	...it's Jason and i 3rd year anniversary today & it's my baby makes 3 months today! im the happiest and luckiest lady on earth :),1
262935242065715200	@AubrieMcg  Rob mentioned it in his Sept 24th email to CES members.,0
264239999535423488	@VictoriaBiebs So we probably wont hang that long okay? I wanna see you before you leave China. :D Oh are you going tomorrow?,0
264037489373749249	Tim Tebow steps out with girlfriend Camilla Belle in Florida (sun-sentinel): Share With Friends:  |  | Top News ... http://t.co/M9Sap8E3,0
262804310981738496	Wow what a weekend: Flying Lotus Zombie Apocalypse writing Patriots Dog Beach...goodnight everyone. Monday morning screw you.,1
258729405533286400	@pkerns603 one time i sat next to rick santorum and i swear i was polite the whole time,0
264050684956143617	[ESPN] SEC lunch links: Some linkage for you on a Thursday: Alabama will throw some different things ... http://t.co/N8HFRZtk #Bulldogs,0
264238936057061376	Tomorrow: LAX->Phoenix->Dallas->Houston. Long day of flying.,0
264028489068445696	I just have to remember to go online tomorrow and watch Grey's Anatomy  Scandal  &' Vampire Diaries .,0
259518582331940865	We're going to be in the rose parade tomorrow with the other obedience club dogs! Lizzie will be wearing roses! :-),1
264238854872129536	@chriscolfer can you make an appearance at sbl in january i mean i know u live in california but i promise not to fall this time,0
264080053112033282	Not 1st time we've had shocker at Anfield on Halloween.We can all see what needs to be done.Carry on Brendon you've got my backing #lfc,0
264046914213916672	Kirk's Bike Shop: Support the businesses you love and Shop Small this November 24th. http://t.co/SFMNKNi6,0
263517106207870976	Chris Bosh may not be easy on the eyes but he has a freakin beautiful family!,1
264104267852419074	BU grads are the 7th most employable in US after Harvard Yale Stanford MIT Columbia and Princeton. #hopethisistrue http://t.co/yDcczEqP,1
247589635465814016	Thought For The Day!!! My Pain may be the Reasons for Somebody's Laugh....but My Laugh must NEVER be the Reasons for Somebody's Pain!,0
264221549761011713	Also don't forget #YourHealthIsYour Wealth 11.14.12 that Wednesday before #TheAKAdemyAwards come do Zumba with your @SFA_AKAs,1
260162427268767745	Napoleon dynamite is on and im not going to school tomorrow. #fantastic,1
264255912032731136	@JustinLueck I'll try to take some more pics tomorrow I lost mi phone during the service and all I got right now is that pic I sent you,0
251426446743044096	An alarm on my phone still goes off every Thursday for a Jon Huntsman For President National Finance Team Call. Probably time to delete it.,0
260010618818551808	@JahmeneDouglas please please would you consider singing etta James at my wedding in may? We chose the song coz of you <3,0
264201139220799489	Watching Eddie Izzard Circle. Sooooo funny but I think it's bed time. Will make Andy watch it with me tomorrow.,1
264234324205907968	Looking forward to a fun weekend in the mountains and enjoying the snow in California.  Have a great Friday. http://t.co/Itxs0ik1,1
258020434564489217	The last thing Dr. King ever said to me before he went down to Memphis: 'Harry we may be integrating into a burning house. ~H. Belafonte,0
260861751086686211	People's Choice Awards site is sooooo slow c'mon I want to vote,0
264236228038246400	This Friday we are mixing Tumblr with Twitter ah well.,0
260187105895010304	@_Cottenballs_  well Geaux Tigers:) and yes it is and then three days after that is.....Nov 6 which means election day! #RomneyRyan!,0
263714118731706369	BREAKING NEWS...........Man utd have placed Howard Webb on the transfer list after new signing Mark Clattenberg makes dream debut on sunday.,0
264238050891165696	@MorbidWhore oh I'll be 19 in February. Where do you live? I live in Florida. :D,0
260031011700752387	Ricky Gervais - all that money all the freedom that money brings. Thought he'd spend Sunday Tweeting...,0
262043061960458240	Hope you're getting up to meet me at our Women's Health Symposium! 9-3 at the Kentucky Center for African-Am Heritage on 18th & Muhammad Ali,0
262596447818616832	Homework catch up day and then dinner with the Big Brother before the hurricane. I kinda need school not to happen on Monday,0
261517820276387841	Hey all you #SupportLocalTalent folk tomorrow is the deadline 11:59PM to vote for HMA People's Choice Awards http://t.co/zNvfWP1c #HamOnt,0
263985015308828672	New header of Lana Del Rey *__* her face is getting blocked though I may change it later..,0
264167026761793536	Hating Breitbart out tomorrow in Wisconsin - Oshkosh Appleton Ashwaubenon and Brookfield. Check it out guys! #conservative,0
264259554911596544	London copper up for 3rd day and underpinned by China data - SteelGuru http://t.co/X3ph8f8B,0
264170160049491970	@D1_Prospect: Singing find your love by Drake like the kid in my 4th block class that swears he's good. Lmaoooo!!! Leave that boy ALONE!,1
263345039021846530	I bet you won't power clean Mettenbergers unconscious body after you sack him Saturday! Roll Tide @vsunseri3,0
262369945319505920	Did he really just say  You think on 3rd & 23 they would play it safe and kick it. Im Roll Tide all day but that shit was harsh.,0
264231291396956161	#LA The date is approaching fast Los Angeles!!  Be sure to catch the show in Malibu on November 16 th!! Tickets... http://t.co/olsNdSL9,0
262641239072067586	Friday night's concert with White Collar Side Show! http://t.co/UEulX3da,0
264192994222170112	Madonna is in concert tonight in St. Louis.  All the women are dressing like 80s whores.  Some of them may even go to the concert.,0
243420371708153856	Excited for pre-Fashion Night Out drinks at Pipa tomorrow night with the HomePolish designers! First of many... http://t.co/exClqgSM,1
262655345749532672	I googled coffee & its immediate response mechanisms the first page that appeared September 11 attacks Wiki.. I dont see the link here,0
246663760150941696	As a liberal dude I would have seriously considered voting for Jon Huntsman.  I may be wrong but he seems like a reasonable guy.,0
264129063789146112	Aquib Talib for a 4th round pick is larceny. Good move by the Patriots.,1
264217506674274304	Lakers gonna beat the Clippers tomorrow tho !,0
264085518894120960	So heartbreaking that the @NHL is actually gonna cancel the Winter Classic tomorrow must be brutal trying to divvy up $3.3 BILLION! FUCK!!,0
261992333531295744	@Warren_Kole@MichaelEaly Do u follow dj @THEJEDEYE1 ? U should he's great daily songs.Today was At LastEtta James.12th time youtube.Wow!,1
262542008629989377	I want a Sunday kind of love - Etta James,0
263805477090107392	I gave $2200 to the Santorum campaign. Put me in debt. Romney gets my vote anyway  though. 3rd party people just don't get how bad BHO is.,0
264221064362610688	No school tomorrow = Tumblr the whole night till i fall asleep p;,0
